sistema,numero,nombre,diametro_apical,longitud,longitud_alt1,longitud_alt2,conicidad,conicidad_alt,velocidad_min,velocidad_max,torque
Re-Treaty,1,BullY #25,25,21,,,0.07,,350,500,1.5
Re-Treaty,2,SkinnY #25,25,25,,,0.04,,350,500,1.5
Re-Treaty,3,ShapY 1#20,20,25,,,0.05,,350,500,1.5
Re-Treaty,4,ShapY 2#25,25,25,,,0.05,,350,500,1.5
Re-Treaty,5,ShapY 3#30,30,25,,,0.05,,350,500,1.5
MG3-Blue,1,SV #20,20,19,,,0.1,,300,350,3
MG3-Blue,2,PX #15,15,21.25,,,0.03,,300,350,2
MG3-Blue,3,G1 #20,20,21.25,,,0.04,,300,350,2
MG3-Blue,4,G2X #25,25,21.25,,,0.04,,300,350,2
MG3-Blue,5,G2 #25,25,21.25,,,0.06,,300,350,2
S-BLUE,1,B0 #17,17,19,,,0.1,,425,500,2.5
S-BLUE,2,B1 #20,20,25,31,,0.04,,425,500,2.5
S-BLUE,3,B2 #25,25,25,31,,0.06,,425,500,2.5
S-BLUE,4,B3 #35,35,25,31,,0.04,,425,500,2.5
RC-BLUE,1,R25,25,21,25,31,0.08,,250,350,3.5
RC-BLUE,2,R40,40,21,25,31,0.06,,250,350,3.5
RC-BLUE,3,R50,50,21,25,31,0.05,,250,350,3.5
Super-Files-III,1,sx,19,19,,,0.03,0.19,150,300,2-2.5
Super-Files-III,2,s1,17,21,25,31,0.02,0.11,150,300,2-2.5
Super-Files-III,3,s2,20,21,25,31,0.04,115,150,300,2-2.5
Super-Files-III,4,f1,20,21,25,31,0.07,,150,300,2-2.5
Super-Files-III,5,f2,25,21,25,31,0.08,,150,300,2-2.5
Super-Files-III,6,f3,30,21,25,31,0.09,,150,300,2-2.5
apical-shaper,1,z30,30,25,21,31,0.03,,150,350,2-2.5
apical-shaper,2,z35,35,25,21,31,0.03,,150,350,2-2.5
apical-shaper,3,z40,40,25,21,31,0.03,,150,350,2-2.5
apical-shaper,4,z50,50,25,21,31,0.03,,150,350,2-2.5
3d-files,1,f25,25,25,,,0.02,,800,800,1
3d-files,2,f30,30,25,,,0.02,,800,800,1
3d-files,3,s30,30,25,,,0.04,,800,800,1
micromega-remover,1,n30,30,23,19,,0.07,,400,800,2.5
rising,1,17,17,19,,,0.10,,450,450,2.5
rising,2,13,13,25,,,0.03,,450,450,2.5
rising,3,25,25,25,,,0.04,,450,450,2.5
rising,4,30,30,25,,,0.04,,450,450,2.5
rising,5,28,28,25,,,0.05,,450,450,2.5
slim-shaper,1,zs1,15,25,,,0.02,0.06,300,500,3
slim-shaper,2,zs2,20,25,,,0.04,0.03,300,500,3
slim-shaper,3,zs3,25,25,,,0.04,0.03,300,500,3
micromega-one-curve-mini,1,N45 4%,45,25,21,31,0.04,,300,450,2.5
micromega-one-curve-mini,2,N35 4%,35,25,21,31,0.04,,300,450,2.5
micromega-one-curve-mini,3,N25 6%,25,25,21,31,0.06,,300,450,2.5
micromega-one-curve-mini,4,N25 4%,25,25,21,31,0.04,,300,450,2.5
